,Player_Id,Player_Name,No_of_Matches,Bat,Bowl,is_bowler,T_Score,T_Score1,Bat1,T_Score2,Bat2,MPlayed_2007,Team_2008,MPlayed_2008,Team_2009,MPlayed_2009,Team_2010,MPlayed_2010,Team_2011,MPlayed_2011,Team_2012,MPlayed_2012,Team_2013,MPlayed_2013,Team_2014,MPlayed_2014,Team_2015,MPlayed_2015,Team_2016,MPlayed_2016,Team_2017,MPlayed_2017,Team_2018,MPlayed_2018,Team_2019
302,303,F du Plessis,50,1043,6,0,1295,639,515,656,528,0,0,0,0,0,0,0,0,1,3,13,0,13,3,26,3,30,12,36,12,23,3,23,3
303,304,RE Levi,6,74,0,0,83,30,26,53,48,0,0,0,0,0,0,0,0,0,7,6,0,6,0,6,0,0,0,0,0,0,0,0,0
304,305,GJ Maxwell,57,780,334,0,1229,671,420,557,359,0,0,0,0,0,0,0,0,0,6,2,7,5,4,21,4,30,4,38,4,36,6,36,0
305,306,SPD Smith,67,1333,2,0,1713,790,579,913,749,0,0,0,0,0,0,0,0,0,10,14,10,21,5,31,5,30,12,31,12,36,0,36,0
306,307,MN Samuels,15,174,219,1,161,116,107,45,67,0,0,0,0,0,0,0,0,0,10,8,10,10,0,10,0,2,0,0,6,5,0,5,0
307,308,SA Yadav,50,479,6,0,608,244,194,364,284,0,0,0,0,0,0,0,0,0,7,1,0,1,1,15,1,27,1,40,1,35,7,35,7
308,309,KK Cooper,25,70,600,1,116,54,31,62,39,0,0,0,0,0,0,0,0,0,5,6,5,20,5,25,0,19,0,5,0,0,0,0,0
309,310,JP Faulkner,60,406,1287,1,527,225,193,302,212,0,0,0,0,0,0,0,10,1,4,3,5,19,5,31,5,42,13,33,13,28,0,28,0
310,311,HV Patel,35,38,707,1,47,10,9,37,29,0,0,0,0,0,0,0,0,0,2,11,0,11,2,14,2,18,2,23,2,21,6,21,6
311,312,DAJ Bracewell,1,9,25,1,12,0,0,12,9,0,0,0,0,0,0,0,0,0,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0
312,313,DJ Harris,6,103,18,0,111,66,59,45,44,0,0,0,0,0,0,0,0,0,8,6,0,6,0,6,0,0,0,0,0,0,0,0,0
313,314,Ankit Sharma,20,69,369,1,87,58,48,29,21,0,0,0,0,0,0,0,0,0,8,9,11,10,5,12,5,7,12,9,12,8,5,8,0
314,315,SP Narine,82,193,1956,1,271,119,85,152,108,0,0,0,0,0,0,0,0,0,1,15,1,31,1,47,1,40,1,35,1,35,1,35,1
315,316,GB Hogg,21,22,466,1,22,0,0,22,22,0,0,0,0,0,0,0,0,0,5,9,5,10,0,10,1,7,1,11,0,11,0,11,0
316,317,RR Bhatkal,1,2,12,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
317,318,CJ McKay,2,15,42,1,8,8,15,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,2,0,0,0,0,0,0,0,0,0
318,319,N Saini,10,143,0,0,140,54,57,86,86,0,0,0,0,0,0,0,0,0,4,10,0,10,0,10,0,0,0,0,0,0,0,0,0
319,320,DA Miller,66,1135,0,0,1563,674,497,889,637,0,0,0,0,0,0,0,0,0,4,7,4,19,4,35,4,41,4,43,4,31,4,31,4
320,321,Azhar Mahmood,23,311,552,1,388,236,180,152,131,0,0,0,0,0,0,0,0,0,4,11,4,22,0,22,1,12,0,1,0,1,0,1,0
321,322,P Negi,40,284,639,1,353,237,179,116,105,0,0,0,0,0,0,0,0,0,6,7,6,8,3,10,3,13,6,20,2,30,2,30,2
322,323,RJ Peterson,5,32,48,1,32,13,14,19,18,0,0,0,0,0,0,0,0,0,7,5,0,5,0,5,0,0,0,0,0,0,0,0,0
323,324,KMDN Kulasekara,5,3,107,1,5,0,0,5,3,0,0,0,0,0,0,0,3,1,3,5,0,5,0,4,0,0,0,0,0,0,0,0,0
324,325,A Ashish Reddy,28,196,270,1,280,166,115,114,81,0,0,0,0,0,0,0,0,0,8,9,11,19,0,19,11,16,11,9,0,9,0,9,0
325,326,V Pratap Singh,9,1,211,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,9,0,9,0,9,0,0,0,0,0,0,0,0,0
326,327,BB Samantray,8,116,0,0,125,110,102,15,14,0,0,0,0,0,0,0,0,0,8,1,11,8,0,8,0,7,0,0,0,0,0,0,0
327,328,MJ Clarke,6,96,66,1,98,16,18,82,78,0,0,0,0,0,0,0,0,0,10,6,0,6,0,6,0,0,0,0,0,0,0,0,0
328,329,Gurkeerat Singh,28,280,82,0,342,230,178,112,102,0,0,0,0,0,0,0,0,0,4,4,4,15,0,15,4,16,4,12,0,13,0,13,2
329,330,AP Majumdar,4,77,0,0,87,30,20,57,57,0,0,0,0,0,0,0,0,0,10,4,0,4,0,4,0,0,0,0,0,0,0,0,0
330,331,PA Reddy,11,167,0,0,164,48,59,116,108,0,0,0,0,0,0,0,0,0,8,4,11,11,0,11,0,7,0,0,0,0,0,0,0
331,332,K Upadhyay,3,9,56,1,12,0,0,12,9,0,0,0,0,0,0,0,0,0,10,1,10,3,0,3,0,2,0,0,0,0,0,0,0
332,333,P Awana,33,14,773,1,5,5,11,0,3,0,0,0,0,0,0,0,0,0,4,12,4,26,4,33,0,21,0,7,0,0,0,0,0
333,334,AD Russell,34,350,651,1,574,209,118,365,232,0,0,0,0,0,0,0,0,0,6,4,6,7,1,9,1,18,1,27,0,25,1,25,1
334,335,A Chandila,12,7,234,1,4,4,7,0,0,0,0,0,0,0,0,0,0,0,5,4,5,12,0,12,0,8,0,0,0,0,0,0,0
335,336,CA Lynn,12,260,0,0,384,91,78,293,182,0,0,0,0,0,0,0,0,0,8,1,0,1,1,3,0,2,1,4,1,9,1,9,1
336,337,Sunny Gupta,1,1,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0
337,338,MC Juneja,7,134,0,0,125,54,69,71,65,0,0,0,0,0,0,0,0,0,0,0,6,7,0,7,0,7,0,0,0,0,0,0,0
338,339,KK Nair,52,929,0,0,1158,528,437,630,492,0,0,0,0,0,0,0,0,0,0,0,2,2,5,13,5,26,6,36,6,39,4,39,4
339,340,GH Vihari,21,323,37,0,280,105,131,175,192,0,0,0,0,0,0,0,0,0,0,0,11,17,0,17,11,21,0,4,0,4,0,4,6
340,341,MDKJ Perera,2,13,0,0,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,2,0,0,0,0,0,0,0
341,342,R Shukla,8,23,130,1,19,3,5,16,18,0,0,0,0,0,0,0,0,0,7,1,5,5,6,8,0,7,0,3,0,0,0,0,0
